fault_indices,fault_strength,fault_start_step,mean_reward,std_reward
"(0,)",0.700,0,2276.992574,575.712071
"(0,)",0.700,50,2199.575940,750.417712
"(0,)",0.700,150,2476.848166,329.145771
"(0,)",0.500,0,533.381287,557.897826
"(0,)",0.500,50,638.860513,588.172404
"(0,)",0.500,150,1092.017327,475.033788
"(0,)",0.300,0,15.974059,160.295558
"(0,)",0.300,50,172.761995,233.869691
"(0,)",0.300,150,544.150043,156.993905
"(1,)",0.700,0,2858.796462,653.473454
"(1,)",0.700,50,2877.920113,834.598988
"(1,)",0.700,150,2617.094806,936.721261
"(1,)",0.500,0,2931.042335,558.853364
"(1,)",0.500,50,2714.143962,657.729916
"(1,)",0.500,150,2508.895059,968.608126
"(1,)",0.300,0,2189.303792,1029.158710
"(1,)",0.300,50,2207.848207,791.853557
"(1,)",0.300,150,2383.365230,885.755361
"(2,)",0.700,0,2796.586765,859.387923
"(2,)",0.700,50,3164.191163,117.999090
"(2,)",0.700,150,2711.424527,1005.674194
"(2,)",0.500,0,3003.960792,525.056986
"(2,)",0.500,50,2971.650113,544.847955
"(2,)",0.500,150,2919.930369,668.998074
"(2,)",0.300,0,3082.079962,272.835487
"(2,)",0.300,50,2868.055492,770.001235
"(2,)",0.300,150,2852.139556,770.495350
